Chrom.1		
UV		
ml	mAU	
0.404	-0.1668823	
0.404	-0.1693759	
0.405	-0.1724656	
0.406	-0.1745455	
0.407	-0.1747045	
0.408	-0.1766647	
0.409	-0.1780418	
0.409	-0.180026	
0.41	-0.1825286	
0.411	-0.1837573	
0.412	-0.1837172	
0.413	-0.1831805	
0.414	-0.1840515	
0.414	-0.1848202	
0.415	-0.1859465	
0.416	-0.1866609	
0.417	-0.1885918	
0.418	-0.1882969	
0.419	-0.1876753	
0.419	-0.1886577	
0.42	-0.190378	
0.421	-0.1908297	
0.422	-0.1915631	
0.423	-0.1917851	
0.424	-0.1935599	
0.424	-0.1947912	
0.425	-0.1960336	
0.426	-0.1952088	
0.427	-0.1948286	
0.428	-0.1954323	
0.429	-0.1975576	
0.429	-0.1986856	
0.43	-0.2007815	
0.431	-0.2016141	
0.432	-0.2017552	
0.433	-0.2021036	
0.433	-0.2026898	
0.434	-0.2025874	
0.435	-0.2032475	
0.436	-0.2046055	
0.437	-0.2056302	
0.438	-0.2066822	
0.438	-0.2090306	
0.439	-0.2117658	
0.44	-0.2128622	
0.441	-0.2132555	
0.442	-0.2144097	
0.443	-0.2145607	
0.443	-0.2158301	
0.444	-0.2161304	
0.445	-0.2177626	
0.446	-0.2186486	
0.447	-0.2199555	
0.448	-0.2220175	
0.448	-0.224411	
0.449	-0.2251558	
0.45	-0.2261512	
0.451	-0.2263784	
0.452	-0.2262571	
0.453	-0.2286038	
0.453	-0.2314004	
0.454	-0.23316	
0.455	-0.2352016	
0.456	-0.2379547	
0.457	-0.239739	
0.458	-0.2408794	
0.458	-0.2420612	
0.459	-0.241465	
0.46	-0.2414302	
0.461	-0.2424323	
0.462	-0.2449207	
0.462	-0.2467441	
0.463	-0.2494873	
0.464	-0.251186	
0.465	-0.252243	
0.466	-0.2549181	
0.467	-0.2544005	
0.467	-0.2554573	
0.468	-0.2566361	
0.469	-0.258918	
0.47	-0.2597902	
0.471	-0.2599297	
0.472	-0.2614624	
0.472	-0.2638191	
0.473	-0.2653812	
0.474	-0.2648232	
0.475	-0.2647796	
0.476	-0.2664974	
0.477	-0.2665529	
0.477	-0.2670275	
0.478	-0.2676317	
0.479	-0.2681158	
0.48	-0.2700144	
0.481	-0.2703179	
0.482	-0.2708896	
0.482	-0.270196	
0.483	-0.2707008	
0.484	-0.271019	
0.485	-0.2728202	
0.486	-0.2740693	
0.487	-0.2733712	
0.487	-0.2740765	
0.488	-0.2770838	
0.489	-0.2771468	
0.49	-0.276476	
0.491	-0.2771307	
0.492	-0.2786484	
0.492	-0.2803069	
0.493	-0.2822612	
0.494	-0.2826507	
0.495	-0.2836984	
0.496	-0.2850234	
0.496	-0.2853077	
0.497	-0.2868355	
0.498	-0.2871557	
0.499	-0.2885059	
0.5	-0.2888485	
0.501	-0.2901293	
0.501	-0.2933838	
0.502	-0.2943817	
0.503	-0.2967216	
0.504	-0.2979255	
0.505	-0.297303	
0.506	-0.2968042	
0.506	-0.2988546	
0.507	-0.2990881	
0.508	-0.3001421	
0.509	-0.3002531	
0.51	-0.3010117	
0.511	-0.302218	
0.511	-0.3019666	
0.512	-0.3028765	
0.513	-0.3020909	
0.514	-0.3030028	
0.515	-0.3033418	
0.516	-0.3047028	
0.516	-0.3054931	
0.517	-0.3062277	
0.518	-0.3067068	
0.519	-0.3074123	
0.52	-0.3082936	
0.521	-0.3091844	
0.521	-0.3099759	
0.522	-0.3099015	
0.523	-0.3106899	
0.524	-0.3110649	
0.525	-0.3115724	
0.525	-0.3128805	
0.526	-0.3138398	
0.527	-0.314286	
0.528	-0.3144912	
0.529	-0.3155459	
0.53	-0.3168111	
0.53	-0.3180357	
0.531	-0.3195487	
0.532	-0.3209697	
0.533	-0.3225946	
0.534	-0.3248417	
0.535	-0.3267375	
0.535	-0.3286616	
0.536	-0.3294219	
0.537	-0.3308833	
0.538	-0.3330904	
0.539	-0.3347195	
0.54	-0.3359184	
0.54	-0.3367591	
0.541	-0.3373854	
0.542	-0.3383321	
0.543	-0.3400531	
0.544	-0.3418434	
0.545	-0.3439526	
0.545	-0.3457466	
0.546	-0.3471539	
0.547	-0.3486978	
0.548	-0.3507764	
0.549	-0.3534209	
0.55	-0.3539103	
0.55	-0.3536278	
0.551	-0.3537368	
0.552	-0.3540516	
0.553	-0.3563434	
0.554	-0.3576449	
0.555	-0.3588372	
0.555	-0.3601999	
0.556	-0.3615252	
0.557	-0.3639784	
0.558	-0.3663341	
0.559	-0.3680597	
0.559	-0.3695162	
0.56	-0.3707842	
0.561	-0.3723624	
0.562	-0.3733007	
0.563	-0.3739858	
0.564	-0.3738962	
0.564	-0.3736573	
0.565	-0.3732936	
0.566	-0.37249	
0.567	-0.3732748	
0.568	-0.3757203	
0.569	-0.3769995	
0.569	-0.3778203	
0.57	-0.3804503	
0.571	-0.3827552	
0.572	-0.3838313	
0.573	-0.384875	
0.574	-0.3849684	
0.574	-0.3834206	
0.575	-0.3832644	
0.576	-0.3819051	
0.577	-0.3816768	
0.578	-0.3819684	
0.579	-0.3822783	
0.579	-0.382573	
0.58	-0.3816068	
0.581	-0.3815621	
0.582	-0.3823761	
0.583	-0.3832073	
0.584	-0.3834981	
0.584	-0.3855094	
0.585	-0.3882515	
0.586	-0.3887234	
0.587	-0.3889437	
0.588	-0.3887038	
0.588	-0.3875665	
0.589	-0.3854236	
0.59	-0.3851471	
0.591	-0.3842982	
0.592	-0.3844188	
0.593	-0.3859757	
0.593	-0.3876641	
0.594	-0.3875818	
0.595	-0.3894442	
0.596	-0.3912725	
0.597	-0.3921772	
0.598	-0.3935487	
0.598	-0.3950243	
0.599	-0.3957788	
0.6	-0.3981334	
0.601	-0.4008962	
0.602	-0.4026769	
0.603	-0.4027741	
0.603	-0.4032111	
0.604	-0.4055127	
0.605	-0.4052942	
0.606	-0.404912	
0.607	-0.4056978	
0.608	-0.4073269	
0.608	-0.4107488	
0.609	-0.4127317	
0.61	-0.4147924	
0.611	-0.4154336	
0.612	-0.4177302	
0.613	-0.4189502	
0.613	-0.4204801	
0.614	-0.4212104	
0.615	-0.421941	
0.616	-0.4224539	
0.617	-0.4227573	
0.618	-0.4237351	
0.618	-0.4246176	
0.619	-0.4244339	
0.62	-0.4249773	
0.621	-0.4227316	
0.622	-0.4219589	
0.622	-0.4229817	
0.623	-0.4246447	
0.624	-0.4265361	
0.625	-0.4271848	
0.626	-0.4270611	
0.627	-0.4271289	
0.627	-0.4284366	
0.628	-0.4293044	
0.629	-0.4297084	
0.63	-0.4313529	
0.631	-0.4320763	
0.632	-0.4319469	
0.632	-0.4329885	
0.633	-0.4342901	
0.634	-0.433966	
0.635	-0.4331475	
0.636	-0.4356598	
0.637	-0.4377631	
0.637	-0.4378892	
0.638	-0.4388565	
0.639	-0.4387047	
0.64	-0.4390488	
0.641	-0.4398187	
0.642	-0.4409628	
0.642	-0.4429646	
0.643	-0.4438607	
0.644	-0.445197	
0.645	-0.446494	
0.646	-0.4460017	
0.647	-0.4480556	
0.647	-0.4496802	
0.648	-0.4499675	
0.649	-0.451989	
0.65	-0.4508746	
0.651	-0.4507827	
0.651	-0.4509599	
0.652	-0.4532305	
0.653	-0.4534521	
0.654	-0.4531916	
0.655	-0.4548437	
0.656	-0.4579598	
0.656	-0.4577845	
0.657	-0.4581961	
0.658	-0.4600181	
0.659	-0.4615987	
0.66	-0.4618535	
0.661	-0.4634618	
0.661	-0.4642248	
0.662	-0.4656347	
0.663	-0.4659995	
0.664	-0.4668348	
0.665	-0.4661754	
0.666	-0.4640314	
0.666	-0.464068	
0.667	-0.4643885	
0.668	-0.4650898	
0.669	-0.4655936	
0.67	-0.4645783	
0.671	-0.4649055	
0.671	-0.4660854	
0.672	-0.466797	
0.673	-0.468266	
0.674	-0.4689408	
0.675	-0.4686724	
0.676	-0.467541	
0.676	-0.4673475	
0.677	-0.4678149	
0.678	-0.4682657	
0.679	-0.4687268	
0.68	-0.4699747	
