Chrom.1		
UV		
ml	mAU	
0.603	-0.3844917	
0.604	-0.3872179	
0.605	-0.3908354	
0.606	-0.3923314	
0.607	-0.3946599	
0.607	-0.3955363	
0.608	-0.3969287	
0.609	-0.3979424	
0.61	-0.3998421	
0.611	-0.4009429	
0.612	-0.4010637	
0.612	-0.4027098	
0.613	-0.4041897	
0.614	-0.4036905	
0.615	-0.4044898	
0.616	-0.4043688	
0.617	-0.4079716	
0.617	-0.4100482	
0.618	-0.4103528	
0.619	-0.4141855	
0.62	-0.415965	
0.621	-0.4177055	
0.622	-0.4162509	
0.622	-0.4167821	
0.623	-0.4194186	
0.624	-0.4220974	
0.625	-0.4235069	
0.626	-0.4253115	
0.627	-0.4270115	
0.627	-0.4289556	
0.628	-0.4324549	
0.629	-0.4364125	
0.63	-0.4409669	
0.631	-0.4440857	
0.632	-0.4462759	
0.632	-0.4482558	
0.633	-0.4498897	
0.634	-0.4528029	
0.635	-0.4565795	
0.636	-0.4596918	
0.637	-0.4600589	
0.637	-0.462548	
0.638	-0.465896	
0.639	-0.4686535	
0.64	-0.4677891	
0.641	-0.4698707	
0.642	-0.4739559	
0.642	-0.478593	
0.643	-0.4833622	
0.644	-0.4849337	
0.645	-0.4850948	
0.646	-0.486451	
0.647	-0.4878848	
0.647	-0.4909557	
0.648	-0.4932778	
0.649	-0.4965183	
0.65	-0.4966705	
0.651	-0.498565	
0.652	-0.5001419	
0.652	-0.5049985	
0.653	-0.5083621	
0.654	-0.5104225	
0.655	-0.5119398	
0.656	-0.5114828	
0.657	-0.5120119	
0.657	-0.5141053	
0.658	-0.514689	
0.659	-0.5154689	
0.66	-0.5166298	
0.661	-0.5201063	
0.662	-0.5235531	
0.662	-0.5244912	
0.663	-0.5249981	
0.664	-0.5262724	
0.665	-0.5288584	
0.666	-0.532434	
0.667	-0.5347341	
0.667	-0.5354928	
0.668	-0.5377953	
0.669	-0.5403742	
0.67	-0.5413927	
0.671	-0.5426341	
0.672	-0.5436472	
0.672	-0.5458921	
0.673	-0.5468318	
0.674	-0.5471715	
0.675	-0.5479783	
0.676	-0.5480656	
0.677	-0.5506121	
0.677	-0.5529753	
0.678	-0.5554563	
0.679	-0.5563827	
0.68	-0.5558015	
0.681	-0.5569099	
0.682	-0.5585702	
0.682	-0.5591108	
0.683	-0.5611532	
0.684	-0.5640002	
0.685	-0.5636348	
0.686	-0.5634577	
0.687	-0.5644643	
0.687	-0.5660079	
0.688	-0.5681916	
0.689	-0.5682559	
0.69	-0.5682372	
0.691	-0.5690337	
0.692	-0.5710467	
0.692	-0.5723603	
0.693	-0.5734693	
0.694	-0.5745627	
0.695	-0.577334	
0.696	-0.5807929	
0.697	-0.5825893	
0.697	-0.5831777	
0.698	-0.5845456	
0.699	-0.5857075	
0.7	-0.588815	
0.701	-0.5925599	
0.702	-0.5925987	
0.702	-0.5939733	
0.703	-0.5957609	
0.704	-0.597095	
0.705	-0.5993157	
0.706	-0.6014451	
0.707	-0.6022128	
0.707	-0.6037771	
0.708	-0.6049169	
0.709	-0.606542	
0.71	-0.6084503	
0.711	-0.6109033	
0.712	-0.6126152	
0.712	-0.613233	
0.713	-0.6139009	
0.714	-0.6142474	
0.715	-0.6149365	
0.716	-0.61567	
0.717	-0.6153548	
0.717	-0.6158408	
0.718	-0.6182336	
0.719	-0.6202972	
0.72	-0.6231979	
0.721	-0.6251158	
0.722	-0.6253388	
0.722	-0.6258239	
0.723	-0.6264644	
0.724	-0.6279411	
0.725	-0.6283625	
0.726	-0.6274812	
0.727	-0.6266376	
0.727	-0.629021	
0.728	-0.6308572	
0.729	-0.6337891	
0.73	-0.6347916	
0.731	-0.6350038	
0.732	-0.6359243	
0.732	-0.6366252	
0.733	-0.6393945	
0.734	-0.64132	
0.735	-0.6427273	
0.736	-0.6433926	
0.737	-0.6445115	
0.737	-0.6465102	
0.738	-0.6483567	
0.739	-0.6487757	
0.74	-0.6499678	
0.741	-0.6503516	
0.742	-0.6511787	
0.742	-0.6519191	
0.743	-0.6563989	
0.744	-0.6590908	
0.745	-0.6599776	
0.746	-0.661006	
0.747	-0.662083	
0.747	-0.6650276	
0.748	-0.6650484	
0.749	-0.6656035	
0.75	-0.665732	
0.751	-0.6676677	
0.752	-0.669143	
0.752	-0.6714126	
0.753	-0.673982	
0.754	-0.6736226	
0.755	-0.6748202	
0.756	-0.6752	
0.757	-0.6771111	
0.757	-0.6782072	
0.758	-0.6787573	
0.759	-0.6782963	
0.76	-0.6797698	
0.761	-0.6805528	
0.762	-0.6809081	
0.762	-0.6822994	
0.763	-0.6842883	
0.764	-0.6848474	
0.765	-0.6847182	
0.766	-0.6856377	
0.767	-0.6867658	
0.767	-0.6877582	
0.768	-0.6892332	
0.769	-0.6904272	
0.77	-0.6917724	
0.771	-0.6922584	
0.772	-0.69376	
0.772	-0.6959832	
0.773	-0.6960987	
0.774	-0.6961747	
0.775	-0.6981773	
0.776	-0.6997478	
0.777	-0.7021991	
0.777	-0.7042524	
0.778	-0.7066135	
0.779	-0.7071624	
0.78	-0.7095448	
0.781	-0.711262	
0.782	-0.7122549	
0.782	-0.7142442	
0.783	-0.7154899	
0.784	-0.7164171	
0.785	-0.7171077	
0.786	-0.7185877	
0.786	-0.7189962	
0.787	-0.720298	
0.788	-0.7228064	
0.789	-0.723479	
0.79	-0.724403	
0.791	-0.7251155	
0.791	-0.7255334	
0.792	-0.725852	
0.793	-0.7269506	
0.794	-0.7282646	
0.795	-0.7307792	
0.796	-0.7324302	
0.796	-0.7339358	
0.797	-0.7365443	
0.798	-0.7370855	
0.799	-0.7360408	
0.8	-0.7378606	
0.801	-0.7396611	
0.801	-0.7401454	
0.802	-0.7407292	
0.803	-0.7399347	
0.804	-0.740559	
0.805	-0.7416571	
0.806	-0.7426506	
0.806	-0.7438049	
0.807	-0.7451243	
0.808	-0.7462888	
0.809	-0.7467189	
0.81	-0.7491624	
0.811	-0.7500523	
0.811	-0.7516758	
0.812	-0.7530756	
0.813	-0.7527714	
0.814	-0.7533242	
0.815	-0.7528757	
0.816	-0.7521526	
0.816	-0.7529059	
0.817	-0.7529829	
0.818	-0.7527433	
0.819	-0.7533528	
0.82	-0.7547137	
0.821	-0.7569837	
0.821	-0.7560107	
0.822	-0.7567132	
0.823	-0.7574278	
0.824	-0.7595748	
0.825	-0.7610061	
0.826	-0.7634117	
0.826	-0.7645846	
0.827	-0.7646281	
0.828	-0.7655756	
0.829	-0.7662292	
0.83	-0.7675333	
0.831	-0.7678115	
0.831	-0.7694774	
0.832	-0.769205	
0.833	-0.7693477	
0.834	-0.7710052	
0.835	-0.7721108	
0.836	-0.7740815	
0.836	-0.7756549	
0.837	-0.7775523	
0.838	-0.7797669	
0.839	-0.7799257	
0.84	-0.7812322	
0.841	-0.7816364	
0.841	-0.7812544	
0.842	-0.7829051	
0.843	-0.7841714	
0.844	-0.7844377	
0.845	-0.7848101	
0.846	-0.7846284	
0.846	-0.7837821	
0.847	-0.7851544	
0.848	-0.7850536	
0.849	-0.7849826	
0.85	-0.7863165	
0.851	-0.7871822	
0.851	-0.7883106	
0.852	-0.7892578	
0.853	-0.789959	
0.854	-0.7919244	
0.855	-0.7927249	
0.856	-0.7917503	
0.856	-0.7926962	
0.857	-0.7928485	
0.858	-0.7921072	
0.859	-0.7923897	
0.86	-0.7923613	
0.861	-0.7919426	
0.861	-0.7938152	
0.862	-0.7936875	
0.863	-0.7946073	
0.864	-0.7941281	
0.865	-0.7943954	
0.866	-0.7938165	
0.866	-0.7961845	
0.867	-0.7952183	
0.868	-0.7967478	
0.869	-0.7994749	
0.87	-0.8011935	
0.871	-0.8019403	
0.871	-0.8014615	
0.872	-0.8014677	
0.873	-0.8012516	
0.874	-0.8024206	
0.875	-0.8030301	
0.876	-0.8033401	
0.876	-0.8047146	
0.877	-0.8046648	
0.878	-0.804363	
0.879	-0.8029973	
0.88	-0.8016025	
0.881	-0.8035579	
0.881	-0.8053148	
0.882	-0.8065274	
0.883	-0.8065274	
0.884	-0.8070209	
0.885	-0.8081338	
0.886	-0.811202	
0.886	-0.8121133	
0.887	-0.810425	
0.888	-0.8120871	
0.889	-0.8132139	
0.89	-0.8125169	
0.891	-0.8127881	
0.891	-0.8135439	
0.892	-0.8148298	
0.893	-0.8149322	
0.894	-0.8165247	
0.895	-0.8171913	
0.896	-0.8183615	
0.896	-0.8187348	
0.897	-0.8199982	
0.898	-0.8216557	
0.899	-0.8227769	
0.9	-0.8246308	
0.901	-0.8272222	
0.901	-0.8277848	
0.902	-0.8294787	
0.903	-0.8296546	
0.904	-0.8312071	
0.905	-0.831426	
0.906	-0.831959	
0.906	-0.8322073	
0.907	-0.8332141	
0.908	-0.8353297	
0.909	-0.835898	
0.91	-0.8354644	
0.911	-0.8365445	
0.911	-0.8370761	
0.912	-0.8361536	
0.913	-0.8373148	
0.914	-0.8386499	
0.915	-0.8397414	
0.916	-0.8400956	
0.916	-0.8400785	
0.917	-0.8409262	
0.918	-0.8411293	
0.919	-0.8421246	
0.92	-0.8425704	
0.921	-0.8433192	
0.921	-0.8433853	
0.922	-0.8427452	
0.923	-0.841579	
0.924	-0.8412973	
0.925	-0.8413765	
0.926	-0.8416774	
0.926	-0.8424882	
0.927	-0.8435634	
0.928	-0.8449919	
0.929	-0.8462812	
0.93	-0.8472224	
0.931	-0.8474345	
0.931	-0.8471674	
0.932	-0.8477068	
0.933	-0.8493981	
0.934	-0.8505557	
0.935	-0.8507133	
0.936	-0.8504558	
0.936	-0.8513253	
0.937	-0.8521589	
0.938	-0.8531194	
0.939	-0.8536739	
0.94	-0.852895	
0.941	-0.8538114	
0.941	-0.8550725	
0.942	-0.8557653	
0.943	-0.857549	
0.944	-0.8588831	
0.945	-0.8601394	
0.946	-0.8625817	
0.946	-0.8652238	
0.947	-0.8671319	
0.948	-0.8675127	
0.949	-0.8689004	
0.95	-0.870143	
0.951	-0.8717664	
0.951	-0.871534	
0.952	-0.8740176	
0.953	-0.8753792	
0.954	-0.8758212	
0.955	-0.8754525	
0.956	-0.8761384	
0.956	-0.8761421	
0.957	-0.876871	
0.958	-0.8778726	
0.959	-0.8791014	
0.96	-0.8809688	
0.961	-0.8832675	
0.961	-0.8844646	
0.962	-0.8852613	
0.963	-0.8854235	
0.964	-0.8850673	
0.965	-0.8849568	
0.966	-0.8854684	
