Chrom.1		
UV		
ml	mAU	
0.501	-0.004887435	
0.502	-0.006945737	
0.503	-0.01021809	
0.503	-0.01316362	
0.504	-0.0155859	
0.505	-0.0172646	
0.506	-0.01890966	
0.507	-0.02021864	
0.508	-0.02154084	
0.508	-0.02372845	
0.509	-0.02523411	
0.51	-0.02803675	
0.511	-0.03058262	
0.512	-0.03315626	
0.513	-0.03629661	
0.513	-0.03843621	
0.514	-0.04100698	
0.515	-0.04102972	
0.516	-0.04330616	
0.517	-0.04649506	
0.518	-0.04698619	
0.518	-0.04674301	
0.519	-0.04789532	
0.52	-0.05054883	
0.521	-0.05192674	
0.522	-0.0541123	
0.523	-0.05708478	
0.523	-0.05873093	
0.524	-0.06065727	
0.525	-0.06265691	
0.526	-0.06446351	
0.527	-0.06689826	
0.528	-0.06972057	
0.528	-0.07280578	
0.529	-0.07539642	
0.53	-0.0792608	
0.531	-0.08105991	
0.532	-0.08346411	
0.533	-0.08561863	
0.533	-0.08745643	
0.534	-0.08923612	
0.535	-0.09050268	
0.536	-0.09297664	
0.537	-0.09554658	
0.538	-0.09693571	
0.538	-0.09948832	
0.539	-0.1024061	
0.54	-0.1046789	
0.541	-0.1076102	
0.542	-0.110192	
0.543	-0.1125516	
0.543	-0.1131438	
0.544	-0.1145273	
0.545	-0.1155461	
0.546	-0.1170573	
0.547	-0.1189254	
0.548	-0.1210237	
0.548	-0.1218532	
0.549	-0.122845	
0.55	-0.1236673	
0.551	-0.1250077	
0.552	-0.1268306	
0.553	-0.1280629	
0.553	-0.1294509	
0.554	-0.1292731	
0.555	-0.1313788	
0.556	-0.1358091	
0.557	-0.1396512	
0.558	-0.1415172	
0.558	-0.1437092	
0.559	-0.1472472	
0.56	-0.1515148	
0.561	-0.1534221	
0.562	-0.1531334	
0.563	-0.1538424	
0.563	-0.1547749	
0.564	-0.1565023	
0.565	-0.1581639	
0.566	-0.1607403	
0.567	-0.1638698	
0.568	-0.1673174	
0.568	-0.1690345	
0.569	-0.1703591	
0.57	-0.1732245	
0.571	-0.1762945	
0.572	-0.1775596	
0.573	-0.1774127	
0.573	-0.179452	
0.574	-0.1814253	
0.575	-0.1840152	
0.576	-0.186778	
0.577	-0.1866291	
0.578	-0.1868903	
0.578	-0.1867342	
0.579	-0.1872763	
0.58	-0.1869326	
0.581	-0.1863784	
0.582	-0.187152	
0.583	-0.1892423	
0.583	-0.1921877	
0.584	-0.1946935	
0.585	-0.19773	
0.586	-0.1994107	
0.587	-0.2010501	
0.588	-0.2024495	
0.588	-0.2035449	
0.589	-0.2051095	
0.59	-0.2073185	
0.591	-0.2080799	
0.592	-0.2101277	
0.593	-0.213233	
0.593	-0.2167419	
