Chrom.1		
UV		
ml	mAU	
0.491	-0.8302478	
0.492	-0.831578	
0.493	-0.8318644	
0.494	-0.8314008	
0.495	-0.8307969	
0.496	-0.8324718	
0.496	-0.8347508	
0.497	-0.8354896	
0.498	-0.8370889	
0.499	-0.8392799	
0.5	-0.8419195	
0.501	-0.8425304	
0.501	-0.8434685	
0.502	-0.8451331	
0.503	-0.8467557	
0.504	-0.8491727	
0.505	-0.850587	
0.506	-0.8523664	
0.506	-0.8545167	
0.507	-0.8563753	
0.508	-0.8594505	
0.509	-0.8624914	
0.51	-0.8653964	
0.511	-0.8659691	
0.511	-0.8669916	
0.512	-0.8690634	
0.513	-0.8700312	
0.514	-0.8708825	
0.515	-0.8730077	
0.516	-0.8751268	
0.516	-0.8770359	
0.517	-0.8775622	
0.518	-0.8795304	
0.519	-0.8803887	
0.52	-0.8817173	
0.521	-0.8821223	
0.521	-0.8823796	
0.522	-0.8836514	
0.523	-0.8855599	
0.524	-0.8877221	
0.525	-0.8889428	
0.526	-0.8900336	
0.526	-0.8906617	
0.527	-0.8912711	
0.528	-0.8915268	
0.529	-0.890112	
0.53	-0.8905602	
0.531	-0.8910793	
0.531	-0.8942018	
0.532	-0.8963355	
0.533	-0.8981727	
0.534	-0.901673	
0.535	-0.9048281	
0.536	-0.9062259	
0.536	-0.9073125	
0.537	-0.9068382	
0.538	-0.9089211	
0.539	-0.9101871	
0.54	-0.9127024	
0.541	-0.9147695	
0.541	-0.9164072	
0.542	-0.9186463	
0.543	-0.9200512	
0.544	-0.919877	
0.545	-0.9206492	
0.546	-0.922173	
0.546	-0.9241962	
0.547	-0.9246075	
0.548	-0.9259492	
0.549	-0.9271702	
0.55	-0.9282416	
0.551	-0.9292641	
0.551	-0.9306487	
0.552	-0.9308615	
0.553	-0.9318945	
0.554	-0.9331487	
0.555	-0.9330332	
0.556	-0.933184	
0.556	-0.9343774	
0.557	-0.935831	
0.558	-0.9382558	
0.559	-0.9414406	
0.56	-0.9428329	
0.561	-0.9427083	
0.561	-0.9423698	
0.562	-0.9437155	
0.563	-0.9453253	
0.564	-0.9466791	
0.565	-0.948985	
0.566	-0.9516519	
0.566	-0.9530262	
0.567	-0.9535568	
0.568	-0.9550634	
0.569	-0.956522	
0.57	-0.9581167	
0.571	-0.9600112	
0.571	-0.9612219	
0.572	-0.9604287	
0.573	-0.962083	
0.574	-0.96326	
0.575	-0.9649755	
0.576	-0.9663174	
0.576	-0.9686787	
0.577	-0.9701388	
0.578	-0.9724438	
0.579	-0.9735487	
0.58	-0.9729719	
0.581	-0.9743695	
0.581	-0.976101	
0.582	-0.9778325	
0.583	-0.9795087	
0.584	-0.9785912	
0.585	-0.9796138	
0.586	-0.9810565	
0.586	-0.9815586	
0.587	-0.9819258	
0.588	-0.9824303	
0.589	-0.9836028	
0.59	-0.9841455	
0.591	-0.9846895	
0.591	-0.9879006	
0.592	-0.9887773	
0.593	-0.9917643	
0.594	-0.9921772	
0.595	-0.9923789	
0.596	-0.9943328	
0.596	-0.996064	
0.597	-0.996317	
0.598	-0.9972267	
0.599	-0.996484	
0.6	-0.9969653	
0.601	-0.9967641	
0.601	-0.9965523	
0.602	-0.9976032	
0.603	-0.9993161	
0.604	-0.9996843	
0.605	-1.001056	
0.606	-1.00126	
0.606	-0.9999865	
0.607	-1.000261	
0.608	-1.002419	
0.609	-1.004219	
0.61	-1.004742	
0.611	-1.005351	
0.611	-1.0052	
0.612	-1.003633	
0.613	-1.003694	
0.614	-1.004382	
0.615	-1.00454	
0.616	-1.006328	
0.616	-1.006618	
0.617	-1.00544	
0.618	-1.00577	
0.619	-1.007542	
0.62	-1.009664	
0.621	-1.011345	
0.621	-1.012944	
0.622	-1.015086	
0.623	-1.016786	
0.624	-1.017459	
0.625	-1.018051	
0.626	-1.019791	
0.626	-1.022789	
0.627	-1.025834	
0.628	-1.028343	
0.629	-1.028239	
0.63	-1.028654	
0.631	-1.031801	
0.631	-1.033537	
0.632	-1.035429	
0.633	-1.037788	
0.634	-1.040064	
0.635	-1.042658	
0.636	-1.044559	
0.636	-1.046354	
0.637	-1.047645	
0.638	-1.049776	
0.639	-1.052109	
0.64	-1.053202	
0.641	-1.052821	
0.641	-1.052629	
0.642	-1.055218	
0.643	-1.056815	
0.644	-1.056228	
0.645	-1.057391	
0.646	-1.059023	
0.646	-1.06078	
0.647	-1.061785	
0.648	-1.062134	
0.649	-1.06205	
0.65	-1.064035	
0.651	-1.065898	
0.651	-1.065127	
0.652	-1.068065	
0.653	-1.070952	
0.654	-1.07147	
0.655	-1.072778	
0.656	-1.074033	
0.656	-1.074761	
0.657	-1.075832	
0.658	-1.078085	
0.659	-1.080984	
0.66	-1.082322	
0.661	-1.083124	
0.661	-1.085185	
0.662	-1.088494	
0.663	-1.089342	
0.664	-1.089528	
0.665	-1.091713	
0.666	-1.092014	
0.666	-1.092051	
0.667	-1.092782	
